id,model_corpus,metric,topic01,topic02,topic03,topic04,topic05,topic06,topic07,topic08,topic09,topic10,average
44,FlutterWNTM_Lemma_Palmetto.csv,npmi,0.050989169,-0.008587941,-0.015491271,-0.097112082,-0.037031441,0.000707463,-0.032225901,-0.146694854,-0.145223912,-0.071946672,-0.050261744
47,FlutterWNTM_Lemma_ToolkitMimno.csv,umass,-2.971626242,-2.370555852,-3.208803773,-3.334445085,-3.590577194,-2.915485474,-3.17957472,-3.428251145,-2.976065955,-2.765816649,-3.074120209
48,JenkinsciBTM_Lemma_Palmetto.csv,ca,0.156342371,0.144508655,0.128336506,0.081279047,0.079788308,0.136280017,0.176094781,0.123302489,0.132573727,0.120113659,0.127861956
49,JenkinsciBTM_Lemma_Palmetto.csv,cp,0.044414756,-0.360808613,-0.222011246,-0.314485539,-0.351148214,-0.263338608,-0.218863236,-0.491266698,0.351373108,0.019358519,-0.180677577
50,JenkinsciBTM_Lemma_Palmetto.csv,npmi,-0.028514181,-0.247291367,-0.110839733,-0.169153135,-0.143930222,-0.056241376,0.002440288,-0.141203194,-0.112854704,-0.011454915,-0.101904254
53,JenkinsciBTM_Lemma_ToolkitMimno.csv,umass,-2.888682176,-2.564981598,-2.945592903,-2.742583897,-2.258773149,-2.93391346,-3.185562072,-2.279117183,-2.122887391,-2.323312435,-2.624540626
54,JenkinsciDMM_Lemma_Palmetto.csv,ca,0.110383479,0.10051962,0.099025667,0.088752049,0.107466404,0.200613231,0.187394609,0.071722425,0.265345233,0.239334516,0.147055723
55,JenkinsciDMM_Lemma_Palmetto.csv,cp,0.286027031,-0.453271039,0.018459099,0.005497494,-0.02306801,-0.058716631,0.363031126,-0.382415906,0.061456191,0.242536776,0.005953613
56,JenkinsciDMM_Lemma_Palmetto.csv,npmi,-0.087702967,-0.219847924,-0.123224113,-0.061246878,0.015102059,0.007490017,0.086179851,-0.153895611,-0.064455232,-0.176225179,-0.077782598
59,JenkinsciDMM_Lemma_ToolkitMimno.csv,umass,-3.67682093,-2.743075762,-2.740393056,-2.780996508,-3.251651946,-2.942216713,-2.891105513,-2.995375578,-3.164001662,-3.205687336,-3.0391325
